+-----------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------------+
|                                x                                |                                y                                | iterations |          time         |
|     6656593304481317393598839952151746590023553382130993248     |     10770594215935749279482183257489712959102052723690265265    |    263     |          0.0          |
|     10770594215935749279482183257489712959102052723690265265    |     17427187520417066673081023209641459549125606105821258513    |    264     |          0.0          |
|     17427187520417066673081023209641459549125606105821258513    |     28197781736352815952563206467131172508227658829511523778    |    265     |          0.0          |
|     28197781736352815952563206467131172508227658829511523778    |     45624969256769882625644229676772632057353264935332782291    |    266     |          0.0          |
|     45624969256769882625644229676772632057353264935332782291    |     73822750993122698578207436143903804565580923764844306069    |    267     |          0.0          |
|     73822750993122698578207436143903804565580923764844306069    |    119447720249892581203851665820676436622934188700177088360    |    268     |          0.0          |
|    119447720249892581203851665820676436622934188700177088360    |    193270471243015279782059101964580241188515112465021394429    |    269     |          0.0          |
|    193270471243015279782059101964580241188515112465021394429    |    312718191492907860985910767785256677811449301165198482789    |    270     |          0.0          |
|    312718191492907860985910767785256677811449301165198482789    |    505988662735923140767969869749836918999964413630219877218    |    271     |          0.0          |
|    505988662735923140767969869749836918999964413630219877218    |    818706854228831001753880637535093596811413714795418360007    |    272     | 0.0009963512420654297 |
|    818706854228831001753880637535093596811413714795418360007    |    1324695516964754142521850507284930515811378128425638237225   |    273     |          0.0          |
|    1324695516964754142521850507284930515811378128425638237225   |    2143402371193585144275731144820024112622791843221056597232   |    274     |          0.0          |
|    2143402371193585144275731144820024112622791843221056597232   |    3468097888158339286797581652104954628434169971646694834457   |    275     |          0.0          |
|    3468097888158339286797581652104954628434169971646694834457   |    5611500259351924431073312796924978741056961814867751431689   |    276     |          0.0          |
|    5611500259351924431073312796924978741056961814867751431689   |    9079598147510263717870894449029933369491131786514446266146   |    277     |          0.0          |
|    9079598147510263717870894449029933369491131786514446266146   |   14691098406862188148944207245954912110548093601382197697835   |    278     |          0.0          |
|   14691098406862188148944207245954912110548093601382197697835   |   23770696554372451866815101694984845480039225387896643963981   |    279     |          0.0          |
|   23770696554372451866815101694984845480039225387896643963981   |   38461794961234640015759308940939757590587318989278841661816   |    280     |          0.0          |
|   38461794961234640015759308940939757590587318989278841661816   |   62232491515607091882574410635924603070626544377175485625797   |    281     | 0.0009968280792236328 |
|   62232491515607091882574410635924603070626544377175485625797   |   100694286476841731898333719576864360661213863366454327287613  |    282     |          0.0          |
|   100694286476841731898333719576864360661213863366454327287613  |   162926777992448823780908130212788963731840407743629812913410  |    283     |          0.0          |
|   162926777992448823780908130212788963731840407743629812913410  |   263621064469290555679241849789653324393054271110084140201023  |    284     |          0.0          |
|   263621064469290555679241849789653324393054271110084140201023  |   426547842461739379460149980002442288124894678853713953114433  |    285     |          0.0          |
|   426547842461739379460149980002442288124894678853713953114433  |   690168906931029935139391829792095612517948949963798093315456  |    286     |          0.0          |
|   690168906931029935139391829792095612517948949963798093315456  |  1116716749392769314599541809794537900642843628817512046429889  |    287     |          0.0          |
|  1116716749392769314599541809794537900642843628817512046429889  |  1806885656323799249738933639586633513160792578781310139745345  |    288     |          0.0          |
|  1806885656323799249738933639586633513160792578781310139745345  |  2923602405716568564338475449381171413803636207598822186175234  |    289     |          0.0          |
|  2923602405716568564338475449381171413803636207598822186175234  |  4730488062040367814077409088967804926964428786380132325920579  |    290     |          0.0          |
|  4730488062040367814077409088967804926964428786380132325920579  |  7654090467756936378415884538348976340768064993978954512095813  |    291     |          0.0          |
|  7654090467756936378415884538348976340768064993978954512095813  |  12384578529797304192493293627316781267732493780359086838016392 |    292     |          0.0          |
|  12384578529797304192493293627316781267732493780359086838016392 |  20038668997554240570909178165665757608500558774338041350112205 |    293     |          0.0          |
|  20038668997554240570909178165665757608500558774338041350112205 |  32423247527351544763402471792982538876233052554697128188128597 |    294     |          0.0          |
|  32423247527351544763402471792982538876233052554697128188128597 |  52461916524905785334311649958648296484733611329035169538240802 |    295     |          0.0          |
|  52461916524905785334311649958648296484733611329035169538240802 |  84885164052257330097714121751630835360966663883732297726369399 |    296     |  0.000997304916381836 |
|  84885164052257330097714121751630835360966663883732297726369399 | 137347080577163115432025771710279131845700275212767467264610201 |    297     |          0.0          |
| 137347080577163115432025771710279131845700275212767467264610201 | 222232244629420445529739893461909967206666939096499764990979600 |    298     |          0.0          |
+-----------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------------+
